what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1721177820189
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721177845873
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721177847909
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721177848248
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721177852806
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721177853864
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721178335409
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721178337835
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721178424849
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721178877870
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1721178877891
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721178878159
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721178880481
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721178896018
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1721178896036
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721178900353
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1721178909313
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1721178909536
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1721178909728
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1721178910636
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721178910973
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1721178910989
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1721178911228
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1721178915696
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721178917720
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1721178917833
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1721178917909
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721178920338
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1721178921128
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1721178921198
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1721178925882
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1721178925918
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1721178928906
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1721178928912
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721178933452
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1721178933452
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1721178934366
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721178937870
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1721178937870
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721178938607
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721178938668
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721178951101
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721179260716
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721179262386
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721179263326
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721179268351
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721179268414
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721179271513
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721179277076
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1721179277096
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1721179297972
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1721179298275
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721179299295
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721179302529
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721179305167
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721179305807
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721179306318
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721179307592
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721179310220
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1721179310238
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1721179310507
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721179312217
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721179312535
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721179313051
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1721179313068
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1721179313287
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721179315614
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721179328694
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721179393686
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721179741966
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721179879090
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721182211380
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721182235309
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721182237938
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721182238644
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721182239758
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721182689981
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721182842773
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721182844497
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721182977466
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183170705
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183171831
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183237565
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183238268
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183264784
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183264857
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183265769
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183269127
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183270150
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721183270192
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183274326
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721183276157
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721183276211
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721183277024
