what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721359000848
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721359009862
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721359010001
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721359041001
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721359119658
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721364279873
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1721364281688
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1721364283158
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1721364284398
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1721364286007
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1721364288316
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1721364289295
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1721364289652
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1721364324357
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721364324650
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721364326543
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721364327284
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721364369361
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721364369458
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1721364372463
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721364372774
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721364479953
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1721364481936
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721364486131
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721364486840
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1721364491535
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1721364492340
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721364492639
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721364494666
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721364495360
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721364496323
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721364496666
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1721364529759
